Zip Code,City,County,Service Unit
27013,Cleveland,Rowan,Rowan
27054,Woodleaf,Rowan,Rowan
27209,Biscoe,Montgomery,Montgomery
27229,Candor,Montgomery,Montgomery
27306,Mount Gilead,Montgomery,Montgomery
27356,Star,Montgomery,Montgomery
27371,Troy,Montgomery,Montgomery
28001,Albemarle,Stanly,Stanly
28002,Millingport,Stanly,Stanly
28007,Ansonville,Anson,Anson
28009,Badin,Stanly,Stanly
28023,China Grove,Rowan,Rowan
28025,Concord,Cabarrus,CAB II
28026,Concord,Cabarrus,Cab II
28027,Concord,Cabarrus,Trailblazers
28031,Cornelius,Mecklenburg,Meck 1
28035,Davidson,Mecklenburg,Meck 1
28036,Davidson,Mecklenburg,Meck 1
28039,East Spencer,Rowan,Rowan
28041,Faith,Rowan,Rowan
28070,Huntersville,Mecklenburg,Meck 1
28071,Gold Hill,Rowan,Rowan
28072,Granite Quarry,Rowan,Rowan
28075,Harrisburg,Cabarrus,CAB II
28078,Huntersville,Mecklenburg,Meck 1
28079,Indian Trail/Hemby Bridge,Union,Union 1 & Union 2
28081,Kannapolis,Cabarrus,Trailblazers
28082,Kannapolis,Cabarrus,Trailblazers
28083,Kannapolis,Cabarrus,CAB II & Trailblazers
28088,Landis,Rowan,Rowan
28091,Lilesville,Anson,Anson
28097,Locust,Stanly,Stanly
28103,Marshville,Union,Union 2
28104,"Matthews, Stallings Weddington",Union,Union 1
28105,Matthews,Mecklenburg,Meck 7 & 8
28106,"Matthews, Stallings Weddington",Union,Union 3
28107,Midland,Cabarrus,CAB II
28108,Mineral Springs,Union,Union 3
28110,Monroe & Unionville,Union,Union 2
28111,Monroe & Unionville,Union,Union 2
28112,Monroe & Unionville,Union,Union 2
28119,Morven,Anson,Anson
28124,Mount Pleasant,Cabarrus,CAB II
28125,Mount Ulla,Rowan,Rowan
28127,New London,Stanly,Stanly
28128,"Norwood, Aquadale",Stanly,Stanly
28129,Oakboro,Stanly,Stanly
28130,Paw Creek,Mecklenburg,Pacesetters
28133,Peachland,Anson,Anson
28134,Pineville,Mecklenburg,Meck 13
28135,Polkton,Anson,Anson
28137,Richfield,Stanly,Stanly
28138,Rockwell,Rowan,Rowan
28144,Salisbury,Rowan,Rowan
28145,Salisbury,Rowan,Rowan
28146,Salisbury,Rowan,Rowan
28147,Salisbury,Rowan,Rowan
28159,Spencer,Rowan,Rowan
28163,Stanfield,Stanly,Stanly
28170,Wadesboro,Anson,Anson
28173,Waxhaw & Marvin,Union,Union 1 & Union 3
28174,Wingate,Union,Union 2
28202,Charlotte,Mecklenburg,Pacesetters
28203,Charlotte,Mecklenburg,Meck 12 & 19
28204,Charlotte,Mecklenburg,Meck 7 & 19
28205,Charlotte,Mecklenburg,Meck 4 & Meck  7
28206,Charlotte,Mecklenburg,Meck 4
28207,Charlotte,Mecklenburg,Meck 19
28208,Charlotte,Mecklenburg,Pacesetters & Meck 12
28209,Charlotte,Mecklenburg,Meck 12 & 19
28210,Charlotte,Mecklenburg,"Meck 12, 13, 19"
28211,Charlotte,Mecklenburg,"Meck 7, 8, 19"
28212,Charlotte,Mecklenburg,Meck 7 & 8
28213,Charlotte,Mecklenburg,Meck 4
28214,Charlotte,Mecklenburg,Pacesetters & Meck 12
28215,Charlotte,Mecklenburg,Meck 4 & Meck 7
28216,Charlotte,Mecklenburg,Meck 1 & Pacesetters
28217,Charlotte,Mecklenburg,Meck 12
28226,Charlotte,Mecklenburg,Meck 19
28227,Charlotte,Mecklenburg,Meck 7 & 8
28262,Charlotte,Mecklenburg,Meck 4
28269,Charlotte,Mecklenburg,Meck 4
28270,Charlotte,Mecklenburg,Meck 8
28273,Charlotte,Mecklenburg,Meck 12
28277,Charlotte,Mecklenburg,Meck 13
28278,Charlotte,Mecklenburg,Meck 12
28280,Charlotte,Mecklenburg,Pacesetters
29704,Catawba,York,York 1
29704,Fort Mill,York,York 2
29708,Fort Mill/Tega Cay ,York,York 2
29710,Clover,York,York 2
29715,Fort Mill,York,York 2
29716,Fort Mill,York,York 2
29717,Hickory Grove,York,York 1
29726,McConnells,York,York 1
29730,Rock Hill,York,York 1
29731,Rock Hill,York,York 1
29732,Rock Hill,York,York 1
29733,Rock Hill,York,York 1
29734,Rock Hill,York,York 1
29742,Sharon,York,York 1
29743,Smyrna,York,York 1
29745,York,York,York 1
