county,zipcode,median_income
Mecklenburg,28031,"89,658"
Mecklenburg,28035,0
Mecklenburg,28036,"116,213"
Mecklenburg,28070,0
Mecklenburg,28075,"110,906"
Mecklenburg,28078,"101,752"
Mecklenburg,28079,"84,301"
Mecklenburg,28104,"108,599"
Mecklenburg,28105,"86,463"
Mecklenburg,28107,"81,351"
Mecklenburg,28115,"67,923"
Mecklenburg,28117,"92,518"
Mecklenburg,28130,0
Mecklenburg,28134,"58,861"
Mecklenburg,28202,"100,709"
Mecklenburg,28203,"87,725"
Mecklenburg,28204,"70,000"
Mecklenburg,28205,"56,196"
Mecklenburg,28206,"33,718"
Mecklenburg,28207,"177,898"
Mecklenburg,28208,"41,030"
Mecklenburg,28209,"82,942"
Mecklenburg,28210,"75,703"
Mecklenburg,28211,"93,236"
Mecklenburg,28212,"42,859"
Mecklenburg,28213,"48,570"
Mecklenburg,28214,"67,398"
Mecklenburg,28215,"51,236"
Mecklenburg,28216,"50,347"
Mecklenburg,28217,"53,177"
Mecklenburg,28226,"103,103"
Mecklenburg,28227,"63,529"
Mecklenburg,28244,0
Mecklenburg,28262,"57,371"
Mecklenburg,28269,"68,636"
Mecklenburg,28270,"103,175"
Mecklenburg,28273,"72,986"
Mecklenburg,28277,"105,672"
Mecklenburg,28278,"101,432"
Mecklenburg,28280,0
Mecklenburg,28282,0
Rowan,27013,"47,241"
Rowan,27054,"73,232"
Rowan,28023,"52,424"
Rowan,28039,"23,854"
Rowan,28041,0
Rowan,28071,"59,556"
Rowan,28072,"44,044"
Rowan,28088,"56,635"
Rowan,28125,"69,059"
Rowan,28138,"48,214"
Rowan,28144,"45,161"
Rowan,28145,0
Rowan,28146,"56,553"
Rowan,28147,"52,268"
Rowan,28159,"53,495"
Montgomery,27209,"40,927"
Montgomery,27229,"40,875"
Montgomery,27306,"52,861"
Montgomery,27356,"45,694"
Montgomery,27371,"50,532"
Stanly,28001,"50,813"
Stanly,28002,0
Stanly,28009,"32,031"
Stanly,28097,"55,820"
Stanly,28127,"62,330"
Stanly,28128,"55,060"
Stanly,28129,"61,250"
Stanly,28137,"65,902"
Stanly,28163,"63,890"
Anson,28007,"43,958"
Anson,28091,"33,016"
Anson,28119,"45,197"
Anson,28133,"54,938"
Anson,28135,"50,075"
Anson,28170,"32,658"
Cabarrus,28025,"58,257"
Cabarrus,28026,0
Cabarrus,28027,"77,367"
Cabarrus,28081,"54,041"
Cabarrus,28082,0
Cabarrus,28083,"49,527"
Cabarrus,28124,"65,658"
Union,28103,"61,344"
Union,28106,0
Union,28108,0
Union,28110,"69,351"
Union,28111,0
Union,28112,"52,471"
Union,28173,"130,705"
Union,28174,"53,521"
York,29704,"63,021"
York,29708,"112,368"
York,29710,"71,280"
York,29715,"86,378"
York,29716,0
York,29717,"61,333"
York,29726,"52,470"
York,29730,"49,258"
York,29731,0
York,29732,"67,037"
York,29733,0
York,29734,0
York,29742,"41,099"
York,29743,"58,700"
York,29745,"59,827"
