,order_id,season,girl,su_id,order_type,bill_zip,adventurefuls,dosidos,lemonups,samoas,savannahs,smores,tagalongs,thinmints,toffeetastic,trefoils,donation,grand_total,Median_income_dollars
0,202235596,2022,17050,638,Shipped,14213,0,2,0,0,0,0,0,3,0,0,0,5,
1,202135183,2021,14770,681,In-Person Delivery,28079,0,4,1,1,0,1,3,0,0,2,0,12,"84,301"
2,202229945,2022,47237,621,Shipped,27215,0,0,1,2,0,1,0,0,3,0,0,7,
3,201916334,2019,2855,632,In-Person Delivery,28078,0,0,0,1,0,1,0,2,0,0,0,4,
4,202232631,2022,41592,632,In-Person Delivery,28277,0,0,2,0,0,0,0,2,0,2,0,6,"105,672"
5,202252236,2022,6205,631,In-Person Delivery,28205,1,0,0,0,0,0,0,5,0,0,0,6,"56,196"
6,202107914,2021,287360,691,Cookies In Hand,29582,0,2,0,2,0,1,0,2,0,2,0,9,
7,202154900,2021,18117,681,Shipped,2131,0,0,0,3,0,0,0,5,0,0,0,8,
8,202214237,2022,287360,691,Cookies In Hand,29715,0,0,0,2,0,0,2,0,0,0,0,4,"86,378"
10,202139127,2021,86781,632,In-Person Delivery,28216,0,0,0,0,0,0,0,0,2,0,0,2,"50,347"
11,202148514,2021,89984,632,Donation,28269,0,0,0,0,0,0,0,0,0,0,1,1,"68,636"
12,202241176,2022,43467,681,In-Person Delivery,28212,2,0,0,1,0,1,1,0,0,1,0,6,"42,859"
13,202225261,2022,62095,643,In-Person Delivery with Donation,28079,0,0,1,1,0,0,1,2,0,0,5,10,"84,301"
14,202102109,2021,532360,642,Cookies In Hand,28226,0,0,0,1,0,0,2,3,0,0,0,6,"103,103"
15,202259510,2022,2088,683,In-Person Delivery,29707,0,0,0,2,0,0,1,2,0,0,0,5,
16,202108170,2021,30010,632,In-Person Delivery with Donation,28037,0,1,0,2,0,1,1,2,0,0,2,9,
17,201904603,2019,23121,692,Shipped,14080,0,0,0,5,5,0,0,5,5,5,0,25,
18,202019073,2020,50434,621,In-Person Delivery,28213,0,0,0,3,0,0,0,3,0,2,0,8,"48,570"
19,202258596,2022,66640,632,In-Person Delivery,28278,0,0,0,0,0,0,0,8,0,0,0,8,"101,432"
20,202108047,2021,693360,642,Cookies In Hand,28206,0,0,0,0,0,0,0,2,0,0,0,2,"33,718"
21,202115998,2021,42741,631,In-Person Delivery,28269,0,2,0,1,0,0,1,0,0,1,0,5,"68,636"
22,202246272,2022,46280,642,Shipped,48430,2,0,0,0,0,0,1,1,0,0,0,4,
23,202218238,2022,14360,692,Cookies In Hand,29708,0,0,0,0,0,0,1,0,0,2,0,3,"112,368"
24,202006104,2020,28163,622,In-Person Delivery,29707,0,0,0,0,0,0,1,2,0,0,0,3,
25,202164294,2021,19792,691,In-Person Delivery,29730,0,1,0,1,0,0,1,0,1,0,0,4,"49,258"
26,202154158,2021,71942,621,Shipped,65584,0,1,1,0,0,1,0,0,0,1,0,4,
27,202149664,2021,15196,638,In-Person Delivery,28270,0,0,0,0,0,0,0,6,0,0,0,6,"103,175"
28,202128078,2021,23967,638,Shipped,28209,0,1,1,2,0,1,2,3,1,0,0,11,"82,942"
29,202265583,2022,51545,638,In-Person Delivery,28104,1,0,1,0,0,0,0,1,0,0,0,3,"108,599"
30,202016681,2020,28511,692,Donation,28215,0,0,0,0,0,0,0,0,0,0,5,5,"51,236"
31,202106669,2021,287360,691,Cookies In Hand,29205,0,1,1,1,0,1,0,0,0,0,0,4,
32,202119996,2021,-2147483648,700,In-Person Delivery,28215,0,0,0,3,0,0,2,4,1,0,0,10,"51,236"
33,202027772,2020,62095,643,In-Person Delivery,28078,0,0,0,1,0,1,1,1,0,2,0,6,"101,752"
34,202157793,2021,59687,642,Shipped with Donation,46033,0,2,1,1,0,0,0,2,2,2,4,14,
35,202201728,2022,584360,643,Shipped,29578,0,0,1,0,0,0,0,6,0,0,0,7,
36,202251802,2022,42407,691,In-Person Delivery,29729,1,1,1,0,0,0,0,0,1,1,0,5,
37,202130557,2021,25992,637,In-Person Delivery,28216,0,2,3,0,0,0,2,0,0,3,0,10,"50,347"
38,202102895,2021,14200,692,Cookies In Hand,29707,0,0,0,1,0,0,0,1,0,0,0,2,
39,202139517,2021,38064,683,In-Person Delivery,28173,0,0,0,3,0,0,2,2,3,0,0,10,"130,705"
40,202026653,2020,60993,632,Shipped,28027,0,0,1,2,0,0,0,1,0,2,0,6,"77,367"
41,202137375,2021,10897,649,Shipped,28117,0,2,0,1,0,0,0,0,0,1,0,4,"92,518"
42,202100745,2021,26360,692,Shipped,28052,0,0,0,0,0,0,0,6,0,0,0,6,
43,202164134,2021,76677,622,In-Person Delivery,28105,0,0,0,0,0,0,0,5,0,0,0,5,"86,463"
44,202222461,2022,594360,692,Cookies In Hand,29715,0,0,0,0,0,1,0,0,0,0,0,1,"86,378"
46,202213794,2022,89635,692,Cookies In Hand,29707,0,0,1,2,0,0,0,3,0,0,0,6,
47,202010786,2020,15276,649,Shipped,76645,0,6,0,0,0,0,0,3,0,0,0,9,
48,202103123,2021,52051,637,Donation,28110,0,0,0,0,0,0,0,0,0,0,4,4,"69,351"
49,202029999,2020,87440,637,In-Person Delivery,37341,0,1,0,1,0,0,0,1,0,0,0,3,
50,202134976,2021,33330,681,Shipped,28134,0,0,0,3,0,0,0,2,0,0,0,5,"58,861"
51,202131916,2021,32742,631,Shipped,28117,0,0,0,2,0,0,0,4,0,0,0,6,"92,518"
52,202207328,2022,87433,622,Shipped with Donation,28278,0,0,1,1,0,0,1,1,0,0,1,5,"101,432"
53,202136389,2021,2855,632,In-Person Delivery,28215,0,0,1,1,0,0,0,2,0,0,0,4,"51,236"
54,202220028,2022,22625,621,In-Person Delivery,28650,0,0,1,1,0,0,0,1,0,0,0,3,
55,201911503,2019,51970,681,Donation,06451,0,0,0,0,0,0,0,0,0,0,5,5,
56,201903449,2019,46760,632,Shipped with Donation,46112,0,1,0,0,0,0,0,2,0,1,1,5,
57,202219204,2022,491360,631,Cookies In Hand,28277,0,0,0,0,0,1,0,0,0,0,0,1,"105,672"
58,202114649,2021,262360,681,Cookies In Hand,28110,0,0,1,0,0,0,0,0,0,1,0,2,"69,351"
59,202242236,2022,73163,681,In-Person Delivery,28277,2,1,1,0,0,2,0,0,0,0,0,6,"105,672"
60,202108744,2021,35552,682,Shipped,27909,0,0,0,3,0,0,0,1,0,2,0,6,
61,202104385,2021,594360,692,Cookies In Hand,29708,0,0,0,0,0,0,1,2,0,0,0,3,"112,368"
62,202021213,2020,79557,649,Shipped,28262,0,0,1,0,0,1,1,1,0,0,0,4,"57,371"
63,202242931,2022,26857,700,In-Person Delivery,29710,2,0,8,0,0,0,0,0,0,0,0,10,"71,280"
64,202205224,2022,532360,642,Cookies In Hand,28209,1,0,0,0,0,2,1,0,0,0,0,4,"82,942"
65,202217881,2022,885360,631,Cookies In Hand,28078,0,0,0,0,0,2,5,5,1,3,0,16,"101,752"
